bc/batch,batch_size,bc/prob_true_act,bc/samples_so_far,bc/entropy,bc/l2_loss,bc/epoch,bc/l2_norm,bc/loss,bc/neglogp,bc/ent_loss
10,2048,0.13000053948982399,22528,2.8275160789489746,0.0,1,453.3124694824219,2.098297864191979,2.1011253804832695,-0.0028275162912905216
21,2048,0.13676292493005657,45056,2.806464195251465,0.0,2,483.1042175292969,2.0254418813389052,2.0282483457818885,-0.0028064644429832697
32,2048,0.1417691039074362,67584,2.783571481704712,0.0,3,497.0897521972656,1.9804796176925836,1.9832631892953603,-0.0027835716027766466
43,2048,0.15120982450484438,90112,2.760043144226074,0.0,4,505.7731628417969,1.907294168230008,1.9100542115977515,-0.002760043367743492
54,2048,0.16065365966612394,112640,2.7356772422790527,0.0,5,513.6124267578125,1.8336798387133524,1.8364155161214069,-0.002735677408054471
65,2048,0.16753393411218567,135168,2.710869789123535,0.0,6,520.96875,1.7898642875316586,1.7925751575331237,-0.002710870001465082
76,2048,0.17189388103956213,157696,2.6861443519592285,0.0,7,529.060791015625,1.764515858262438,1.7672020028137003,-0.0026861445512622595
87,2048,0.1762254620306124,180224,2.661658763885498,0.0,8,538.00830078125,1.7417922346567067,1.7444538935733291,-0.0026616589166224003
98,2048,0.1821078304290418,202752,2.637432098388672,0.0,9,546.7156982421875,1.706917532799264,1.7095549649889223,-0.002637432189658284
109,2048,0.18669029157382833,225280,2.613475799560547,0.0,10,554.805419921875,1.6823228544666595,1.6849363304785616,-0.002613476011902094
120,2048,0.19050747198918117,247808,2.5897083282470703,0.0,11,563.8737182617188,1.6633834772446225,1.6659731856715898,-0.0025897084269672632
131,2048,0.1942682191683768,270336,2.5661134719848633,0.0,12,573.05224609375,1.6459648916213632,1.6485310052237332,-0.0025661136023700237
142,2048,0.19907203647013688,292864,2.5427050590515137,0.0,13,582.7619018554688,1.6216974786820233,1.6242401839571416,-0.002542705275118351
153,2048,0.20397329796693645,315392,2.519413471221924,0.0,14,593.0545654296875,1.596081707331143,1.5986011209271622,-0.002519413596019149
164,2048,0.20835696784187752,337920,2.4962329864501953,0.0,15,604.37451171875,1.5763018115054712,1.5787980447154388,-0.0024962332099676132
175,2048,0.21386568346437732,360448,2.473174571990967,0.0,16,615.4747924804688,1.5484488141922577,1.5509219887866004,-0.0024731745943427086
186,2048,0.2188786429848406,382976,2.450202465057373,0.0,17,627.6433715820312,1.5260645959585584,1.5285147985502756,-0.002450202591717243
197,2048,0.2227438953184525,405504,2.4273085594177246,0.0,18,639.3507690429688,1.5097264054160897,1.5121537140034471,-0.002427308587357402
