bc/samples_so_far,bc/entropy,bc/epoch,bc/prob_true_act,bc/l2_norm,bc/loss,bc/batch,bc/neglogp,bc/l2_loss,batch_size,bc/ent_loss
20480,2.8299760818481445,1,0.12683857988928943,443.1741027832031,2.145113489211651,9,2.1479434653586917,0.0,2048,-0.0028299761470407248
40960,2.811427354812622,2,0.13314749322322178,468.55548095703125,2.0475178909252563,19,2.0503293183862397,0.0,2048,-0.0028114274609833956
61440,2.790583610534668,3,0.1436757041325356,483.591796875,1.954020668931025,29,1.9568112526942967,0.0,2048,-0.00279058376327157
81920,2.7686848640441895,4,0.15517999804477953,493.81817626953125,1.8675074059002994,39,1.8702760910102127,0.0,2048,-0.002768685109913349
102400,2.7462737560272217,5,0.15901643632925916,501.68963623046875,1.8448582300930463,49,1.8476045040893547,0.0,2048,-0.002746273996308446
122880,2.723893642425537,6,0.1637547905631011,508.269287109375,1.8135281377328787,59,1.8162520315820578,0.0,2048,-0.0027238938491791487
143360,2.7016825675964355,7,0.16781733833582668,513.7697143554688,1.7903071176201744,69,1.7930088003572715,0.0,2048,-0.002701682737097144
163840,2.679703712463379,8,0.17126542210760962,517.4713134765625,1.7709444682873012,79,1.773624172044468,0.0,2048,-0.0026797037571668625
184320,2.6579744815826416,9,0.17589393908009957,520.8724365234375,1.7420507225848763,89,1.7447086971893935,0.0,2048,-0.0026579746045172215
204800,2.636448383331299,10,0.17945029257272432,524.427490234375,1.7238143263862191,99,1.726450774866408,0.0,2048,-0.0026364484801888466
225280,2.6151065826416016,11,0.1825208819332419,528.350830078125,1.7067640782895115,109,1.7093791850472417,0.0,2048,-0.0026151067577302456
245760,2.5939316749572754,12,0.18665486257130726,532.6284790039062,1.6846642421898008,119,1.6872581739318133,0.0,2048,-0.0025939317420125008
266240,2.572883129119873,13,0.19042200088788436,537.6517944335938,1.6650102666103799,129,1.6675831497637141,0.0,2048,-0.00257288315333426
286720,2.5519371032714844,14,0.19478227472872978,543.0669555664062,1.6428273041648742,139,1.645379241407844,0.0,2048,-0.0025519372429698706
307200,2.531078815460205,15,0.19849852688308142,548.7449340820312,1.6232184532262552,149,1.6257495321031827,0.0,2048,-0.002531078876927495
327680,2.5103163719177246,16,0.2026817648433546,554.9859008789062,1.6034173029492134,159,1.6059276193863237,0.0,2048,-0.002510316437110305
348160,2.489612579345703,17,0.20566872721944882,561.5398559570312,1.5901073493619065,169,1.5925969620325218,0.0,2048,-0.0024896126706153154
368640,2.4690001010894775,18,0.21129343510226867,568.3670043945312,1.5620980820045347,179,1.5645670821782673,0.0,2048,-0.0024690001737326384
389120,2.448455333709717,19,0.2144202892539743,574.9119873046875,1.5471448620503054,189,1.5495933174808727,0.0,2048,-0.0024484554305672646
409600,2.427968978881836,20,0.21758252902116026,581.4767456054688,1.5341410159942852,199,1.5365689851221787,0.0,2048,-0.002427969127893448
430080,2.4075422286987305,21,0.22306453052799835,588.3231201171875,1.5084017426466567,209,1.5108092850765211,0.0,2048,-0.0024075424298644066
450560,2.387200355529785,22,0.225853640552854,594.9514770507812,1.4962300721646036,219,1.4986172726467932,0.0,2048,-0.0023872004821896553
471040,2.3669471740722656,23,0.2301719360224282,602.1569213867188,1.4780703940494901,229,1.4804373412924803,0.0,2048,-0.002366947242990136
491520,2.3467049598693848,24,0.2357966852947501,609.8026123046875,1.4548295990211564,239,1.457176304200818,0.0,2048,-0.0023467051796615124
512000,2.3264660835266113,25,0.23999342432803447,617.9385986328125,1.4405856696295967,249,1.442912135772728,0.0,2048,-0.002326466143131256
532480,2.3062667846679688,26,0.24624494982728423,626.8882446289062,1.4105487669369448,259,1.4128550338575858,0.0,2048,-0.0023062669206410646
552960,2.2860918045043945,27,0.24999389684313358,637.1409301757812,1.3957172998593954,269,1.3980033917719332,0.0,2048,-0.002286091912537813
573440,2.265951633453369,28,0.2541945611848523,648.0848999023438,1.3820323224706996,279,1.3842982742997307,0.0,2048,-0.00226595182903111
593920,2.245828151702881,29,0.2596639084216512,660.6748657226562,1.3596483486337148,289,1.3618941769102149,0.0,2048,-0.002245828276500106
614400,2.225735664367676,30,0.26473804524549127,674.9188842773438,1.3408024956569449,299,1.3430282313473896,0.0,2048,-0.002225735690444708
634880,2.205653429031372,31,0.27051181751141246,691.2538452148438,1.3196654991262604,309,1.3218711527080287,0.0,2048,-0.0022056535817682743
655360,2.1855883598327637,32,0.27611134582058716,707.853515625,1.297746251319102,319,1.2999318397888309,0.0,2048,-0.0021855884697288275
675840,2.165523052215576,33,0.2809392641347386,724.5906372070312,1.2828691596058945,329,1.2850346827307533,0.0,2048,-0.002165523124858737
696320,2.145491123199463,34,0.2854828042953066,740.9414672851562,1.2664998391459197,339,1.268645330453521,0.0,2048,-0.0021454913076013327
716800,2.125542163848877,35,0.29278644309457924,758.0820922851562,1.2404189733472757,349,1.2425445157253288,0.0,2048,-0.002125542378053069
737280,2.105595827102661,36,0.2997758371231033,774.9733276367188,1.2157750046630196,359,1.2178806006726615,0.0,2048,-0.0021055960096418858
757760,2.0856189727783203,37,0.3026931381902249,791.5610961914062,1.209108552424059,369,1.2111941715644754,0.0,2048,-0.0020856191404163837
778240,2.0658011436462402,38,0.3094946147322205,808.1934204101562,1.1849532399674576,379,1.187019041261978,0.0,2048,-0.0020658012945204973
798720,2.0460281372070312,39,0.3155463357937034,823.0747680664062,1.1666999958511275,389,1.1687460240032357,0.0,2048,-0.0020460281521081924
819200,2.0261993408203125,40,0.32023752142170137,837.6368408203125,1.1528501122912749,399,1.154876311654447,0.0,2048,-0.0020261993631720543
839680,2.0063445568084717,41,0.32832129261222615,852.2501220703125,1.1281882933808407,409,1.1301946381108752,0.0,2048,-0.0020063447300344706
860160,1.9864674806594849,42,0.3339444150171116,867.0861206054688,1.1112518963450824,419,1.1132383638574068,0.0,2048,-0.0019864675123244524
880640,1.9666168689727783,43,0.33957418854038374,882.5828247070312,1.0949329284139244,429,1.0968995454840629,0.0,2048,-0.0019666170701384544
901120,1.9467930793762207,44,0.3465876695537467,898.4130249023438,1.0744848310659625,439,1.0764316242366083,0.0,2048,-0.001946793170645833
921600,1.9269495010375977,45,0.354929874816915,913.4782104492188,1.0496175221805044,449,1.0515444717774682,0.0,2048,-0.0019269495969638228
942080,1.907116174697876,46,0.3629524420603133,928.3717041015625,1.0260015321017226,459,1.0279086483695528,0.0,2048,-0.0019071162678301334
962560,1.887315273284912,47,0.3698418122075292,943.4879150390625,1.0082275173168846,469,1.0101148327354559,0.0,2048,-0.0018873154185712337
983040,1.8675569295883179,48,0.37135882273940657,958.8218383789062,1.0074019818790991,479,1.009269538940004,0.0,2048,-0.001867557060904801
1003520,1.8478410243988037,49,0.3782818341394253,973.13671875,0.9859902757278477,489,0.9878381168062632,0.0,2048,-0.001847841078415513
1024000,1.8282103538513184,50,0.3905872830906474,987.5956420898438,0.9532544401711408,499,0.9550826505994979,0.0,2048,-0.0018282104283571243
1044480,1.8085148334503174,51,0.39653697503646435,1001.6594848632812,0.9403526149444437,509,0.9421611298794081,0.0,2048,-0.001808514934964478
1064960,1.7887461185455322,52,0.4048383615442735,1015.6246948242188,0.9218565654261303,519,0.9236453116424647,0.0,2048,-0.0017887462163344026
1085440,1.768951654434204,53,0.4138217122302674,1029.4388427734375,0.8989877821706804,529,0.9007567339405986,0.0,2048,-0.0017689517699182034
1105920,1.7491607666015625,54,0.423607709481184,1043.494384765625,0.8718249970430094,539,0.8735741578589711,0.0,2048,-0.001749160815961659
1126400,1.7293925285339355,55,0.4315119428877614,1057.59228515625,0.8562320415901032,549,0.8579614341530961,0.0,2048,-0.0017293925629928708
1146880,1.709622859954834,56,0.43708095216217946,1071.8258056640625,0.8441770208390753,559,0.8458866437521155,0.0,2048,-0.0017096229130402207
1167360,1.6898837089538574,57,0.44908609448651565,1085.5938720703125,0.8143153150636888,569,0.8160051988275907,0.0,2048,-0.0016898837639018893
1187840,1.6701936721801758,58,0.44902934381895,1099.9361572265625,0.8163230112949571,579,0.8179932050369865,0.0,2048,-0.0016701937420293689
